suite_id	suite_name	suite_order	suite_details	case_id	case_name	case_order	version_id	summary	preconditions	step_number	actions	expected_results
203	Alertas	1	Notificaciones por vigencia y estados	219	TC-ALR-002 - No alertar póliza cancelada	0	780	Verificar que no se generen alertas para pólizas canceladas	Póliza B 'Cancelada' con fin en 15 días	1	<p>Disparar ciclo de alertas</p>	<p>No se genera alerta para B</p>
203	Alertas	1	Notificaciones por vigencia y estados	219	TC-ALR-002 - No alertar póliza cancelada	0	780	Verificar que no se generen alertas para pólizas canceladas	Póliza B 'Cancelada' con fin en 15 días	2	<p>Validar en la interfaz el mensaje o estado mostrado tras la operación.</p>	<p>El mensaje o estado coincide con el resultado esperado del caso.</p>
203	Alertas	1	Notificaciones por vigencia y estados	219	TC-ALR-002 - No alertar póliza cancelada	0	780	Verificar que no se generen alertas para pólizas canceladas	Póliza B 'Cancelada' con fin en 15 días	3	<p>Revisar logs o la base de datos relacionada (si aplica) para confirmar la operación.</p>	<p>Los registros muestran la operación correcta sin errores adicionales.</p>
203	Alertas	1	Notificaciones por vigencia y estados	219	TC-ALR-002 - No alertar póliza cancelada	0	780	Verificar que no se generen alertas para pólizas canceladas	Póliza B 'Cancelada' con fin en 15 días	4	<p>Comprobar que no se generaron efectos colaterales en otros registros o módulos.</p>	<p>No se detectan efectos colaterales y los demás registros permanecen intactos.</p>
203	Alertas	1	Notificaciones por vigencia y estados	219	TC-ALR-002 - No alertar póliza cancelada	0	780	Verificar que no se generen alertas para pólizas canceladas	Póliza B 'Cancelada' con fin en 15 días	5	<p>Registrar evidencia (capturas, logs) y actualizar el resultado del caso en TestLink.</p>	<p>La evidencia queda almacenada y el resultado del caso se documenta correctamente.</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	208	TC-CLI-001 - Registro de cliente con datos válidos	1	769	Validar que se puede registrar un cliente con datos obligatorios correctos	Usuario con permisos de creación; catálogos activos	1	<p>Ir a Clientes → Nuevo</p>	<p>Se muestra formulario</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	209	TC-CLI-002 - Bloqueo por RFC duplicado	1	770	Evitar que se duplique un RFC existente	Existe cliente con RFC LORM850101ABC	1	<p>Clientes → Nuevo → Capturar RFC duplicado (LORM850101ABC)</p>	<p>Formulario se muestra correctamente</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	210	TC-CLI-003 - Edición básica de contacto	1	771	Actualizar teléfono y correo de un cliente	Cliente existente	1	<p>Abrir detalle → Editar Tel y Correo → Guardar</p>	<p>Cambios se guardan sin errores</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	211	TC-CLI-004 - RFC en formato inválido bloquea guardado	1	772	Validar que el sistema impida guardar un cliente con un RFC en formato incorrecto	El formulario de alta de cliente está accesible	1	<p>Ir a Clientes → Nuevo</p>	<p>Se muestra el formulario</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	212	TC-CLI-005 - Correo electrónico con formato inválido	1	773	Comprobar que el campo correo exige un formato correcto antes de guardar	El formulario de alta de cliente está disponible	1	<p>Ir a Clientes → Nuevo</p>	<p>Se muestra el formulario</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	213	TC-CLI-006 - Teléfono con longitud distinta a 10 dígitos	1	774	Verificar que no se acepten teléfonos con menos o más de 10 dígitos	Formulario de alta disponible	1	<p>Ir a Clientes → Nuevo</p>	<p>Se muestra el formulario</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	214	TC-CLI-007 - Cambio de estado a Inactivo (baja lógica)	1	775	Validar que un cliente activo pueda cambiar su estado a inactivo y que el sistema restringe ciertas acciones	Cliente existente en estado Activo	1	<p>Abrir detalle del cliente → Editar estado → Seleccionar &#039;Inactivo&#039;</p>	<p>Se puede cambiar el estado</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	215	TC-CLI-008 - Impedir cambiar RFC a uno existente en edición	1	776	Evitar duplicados de RFC cuando se edita un cliente	Existen dos clientes: Cliente A (RFC_A) y Cliente B (RFC_B)	1	<p>Abrir Cliente B → Editar RFC → Cambiar a RFC_A</p>	<p>Se permite modificar el campo</p>
202	Gestión de Clientes	1	Altas, ediciones, validaciones, búsqueda	216	TC-CLI-009 - Búsqueda y filtro combinado por RFC y Estado	1	777	Validar que la búsqueda por RFC y el filtro de Estado se apliquen correctamente de forma conjunta	Base con varios clientes activos e inactivos	1	<p>Ir al listado de clientes → Buscar &#039;LORM&#039; → Filtrar Estado = Activo</p>	<p>El listado solo muestra clientes activos cuyo RFC contiene &#039;LORM&#039;</p>
